,SPX Index_LR,SPX Index_RV_22,RTY Index_LR,RTY Index_RV_22,NDX Index_LR,NDX Index_RV_22
2012-08-09,0.000413544294347905,0.6671627479453451,0.003415961761263888,0.862302925108352,0.002057557092449931,0.7827374078716794
2012-08-10,0.0021860889478816747,0.668064684318894,-0.0016853131228831192,0.860749741151427,0.001231036228496059,0.7778535847058151
2012-08-13,-0.0012526781188120387,0.6636173790265362,-0.002575833572886655,0.8600874099891826,0.002098451878334481,0.7620702970243264
2012-08-14,-0.0001282033021227822,0.6106732621027906,-0.0032636593572748116,0.8311986695431536,-0.0003262182355597836,0.7214603903562791
2012-08-15,0.0011390090430037803,0.6098326994172926,0.009214743984789555,0.8395721668013443,0.002811509999134532,0.7211963606575055
2012-08-16,0.007075434332495446,0.60891524412444,0.010903229506825571,0.8554383470448903,0.011854284132569138,0.7399280215788882
2012-08-17,0.0018703665370596102,0.6004060954349081,0.008344379128306633,0.8584886544679308,0.004401283871642428,0.7134518198347823
2012-08-20,-2.115439535528785e-05,0.5988590751602342,-0.004134704419879227,0.859099377515289,0.0014484343809257267,0.690761044153837
2012-08-21,-0.0035036944682847937,0.5796160944924313,-0.0014082066814145764,0.8329202243906293,-0.004366041133159613,0.6559357851325002
2012-08-22,0.0002264156293058998,0.5619488933019756,-0.0034326044810824127,0.7946146667573082,0.004039158637320945,0.6363933387087166
2012-08-23,-0.00810497516365437,0.5581707490773099,-0.008108466458832182,0.7717519683006845,-0.007718091343936706,0.6331457719190828
2012-08-24,0.006433953540105122,0.5674165042628876,0.003943820905215807,0.773612953785971,0.005786946639795297,0.6296625076140966
2012-08-27,-0.0004890894174197595,0.5041795939904992,0.0015028506973752338,0.7572543982660711,0.0016185307277508938,0.5903650319026098
2012-08-28,-0.0008085852327604881,0.4053847632718709,0.004775088550177586,0.6586379499316688,5.0312295616924306e-05,0.4540252663705663
2012-08-29,0.0008440345349446528,0.4055334894286574,0.004353861411389256,0.6563342661280122,0.0004706567185103052,0.4531292317045934
2012-08-30,-0.007836422697165871,0.4185885781715356,-0.011308017209982956,0.6740094055251825,-0.010928754756062392,0.4851992671174531
2012-08-31,0.005060487054237251,0.42349544990432103,0.004254889724612193,0.594702983281582,0.006695669950286635,0.49470625063619084
2012-09-04,-0.0011666288598383128,0.4072931293929219,0.012302003237683812,0.6239359691218328,-7.575388648099322e-05,0.4912961693860096
2012-09-05,-0.0010753569832413765,0.2766414521927209,-0.0011050464501587743,0.47461139378324596,-0.0018342732504288096,0.38836107607039877
2012-09-06,0.020236623645940314,0.422333652373329,0.020149225198020985,0.5601080987832064,0.0224286023766577,0.515899438453375
2012-09-07,0.004041761017721236,0.4194565976386505,0.0051434068488562966,0.5486550642339206,-0.0016269310127100959,0.49849528559609757
2012-09-10,-0.00616674434215865,0.43061585047499734,-0.003451412533512941,0.5508908604061133,-0.013097278854309665,0.5398040217132425
2012-09-11,0.0031369560945167384,0.4334359448563315,0.0030298421359986204,0.5503213148060695,-0.0012416477469193183,0.5391753287552695
2012-09-12,0.0020835300712209424,0.43330863213908866,0.003798400325582835,0.552968006160492,0.0024351898588113696,0.5402060157017924
2012-09-13,0.01617821963021452,0.5033071615282692,0.012938993308832612,0.5884648149280574,0.014110064562749896,0.5838531713227093
2012-09-14,0.003951115279070497,0.5071962219524354,0.009966267198271279,0.6071547914609581,0.008398770569704634,0.5988602706035915
2012-09-17,-0.003129529435335874,0.5093026153577505,-0.006726655776830535,0.5988670231237959,0.0004236939522420132,0.597232706393471
2012-09-18,-0.0012805984266831857,0.4971788920169084,-0.0022985997061069105,0.5744695852798637,0.0003290268186538551,0.5668351837939328
2012-09-19,0.00118478151903211,0.4966477832487651,-0.0009935756988547935,0.5592116360368339,0.0023246028495050937,0.5637218376259402
2012-09-20,-0.0005408532605288135,0.496721877352548,-0.005347906968585308,0.5617977791090142,-0.0008138700667385707,0.5634008738397975
2012-09-21,-7.533188836628922e-05,0.4935995674959119,0.0046888706100958666,0.5662661608467011,-2.09667781407425e-05,0.5591215896382844
2012-09-24,-0.002235143403731278,0.4948601547262213,-0.004392969889673037,0.5679359545529098,-0.00619040749153134,0.5640589953966787
2012-09-25,-0.010557355654258943,0.5063791968568995,-0.014958170646089165,0.6019693995099179,-0.01396851256446555,0.5935665534917053
